,小区,简介,房屋结构,朝向,面积(平方米),月租,平米月租
263,积家 ,积家 1室1厅 4800元,1室1厅 ,东南,40,4800,120.0 
264,兴耀鑫都汇 ,兴耀鑫都汇 1室1厅 60000元,1室1厅 ,东南,497,60000,120.7 
265,兴耀鑫都汇 ,兴耀鑫都汇 2室1厅 5200元,2室1厅 ,北,42,5200,123.8 
266,江滨澜廷 ,江滨澜廷 1室1厅 7000元,1室1厅 ,南,56.5,7000,123.9 
267,金铂湾 ,金铂湾 1室2厅 6500元,1室2厅 ,北,52,6500,125.0 
268,金铂湾 ,金铂湾 1室2厅 6500元,1室2厅 ,北,52,6500,125.0 
269,白马湖小区白鹤苑 ,白马湖小区白鹤苑5居室 01卧,5室1厅 ,南,19.9,2490,125.1 
270,汉峰峰公馆 ,汉峰峰公馆 1室1厅 6500元,1室1厅 ,南,50.66,6500,128.3 
271,汉峰峰公馆 ,汉峰峰公馆 1室1厅 6500元,1室1厅 ,北,50.66,6500,128.3 
272,江滨澜廷 ,江滨澜廷 1室1厅 7000元,1室1厅 ,南 北,54,7000,129.6 
273,江滨澜廷 ,江滨澜廷 1室1厅 8500元,1室1厅 ,南,65,8500,130.8 
274,江滨澜廷 ,江滨澜廷 1室2厅 6500元,1室2厅 ,南,48,6500,135.4 
275,金铂湾 ,金铂湾 1室1厅 7000元,1室1厅 ,北,51.56,7000,135.8 
276,金铂湾 ,金铂湾 1室1厅 7000元,1室1厅 ,北,51.52,7000,135.9 
277,金铂湾 ,金铂湾 1室1厅 6000元,1室1厅 ,南,43.76,6000,137.1 
278,中赢康康谷 ,中赢康康谷 2室1厅 6200元,2室1厅 ,北,45,6200,137.8 
279,融创杭州印 ,融创杭州印 1室0厅 20000元,1室0厅 ,南,144.06,20000,138.8 
280,金铂湾 ,金铂湾 1室1厅 9500元,1室1厅 ,西南,67.37,9500,141.0 
281,江滨澜廷 ,江滨澜廷 2室1厅 11000元,2室1厅 ,北,78,11000,141.0 
282,江滨澜廷 ,江滨澜廷 2室1厅 11000元,2室1厅 ,北,78,11000,141.0 
283,中赢康康谷 ,地铁口中赢康康谷，好房出租，价格实惠,2室2厅 ,南,45.62,6500,142.5 
284,白马湖小区白鹤苑 ,白马湖小区白鹤苑5居室 01卧,5室1厅 ,南,20,2990,149.5 
285,白马湖小区白鹤苑 ,白马湖小区白鹤苑5居室 03卧,5室1厅 ,南,11.2,1790,159.8 
286,金铂湾 ,金铂湾 1室1厅 7000元,1室1厅 ,北,43.76,7000,160.0 
287,海威钱塘之星 ,海威钱塘之星 2室1厅 7000元,2室1厅 ,南,43,7000,162.8 
288,融创杭州印 ,融创杭州印 1室0厅 27000元,1室0厅 ,南,165.25,27000,163.4 
289,中赢康康谷 ,精装，舒适2房，给您一个舒适的家,2室2厅 ,南,45.68,7600,166.4 
290,春波西苑 ,春波西苑4居室 01卧,4室1厅 ,南,13.5,2260,167.4 
291,白马湖小区白鹤苑 ,白马湖小区白鹤苑5居室 01卧,5室1厅 ,南,15.8,2790,176.6 
292,白马湖小区白鹤苑 ,白马湖小区白鹤苑5居室 01卧,5室1厅 ,南,15.8,2830,179.1 
293,白马湖小区白鹤苑 ,白马湖小区白鹤苑5居室 02卧,5室1厅 ,南,11,1990,180.9 
294,白马湖小区白鹤苑 ,白马湖小区白鹤苑5居室 02卧,5室1厅 ,南,11,1990,180.9 
295,白马湖小区白鹤苑 ,白马湖小区白鹤苑5居室 02卧,5室1厅 ,南,11.7,2190,187.2 
296,白马湖小区白鹤苑 ,白马湖小区白鹤苑5居室 01卧,5室1厅 ,南,15.8,2990,189.2 
297,白马湖小区白鹤苑 ,白马湖小区白鹤苑5居室 02卧,5室1厅 ,南,11.4,2190,192.1 
298,白马湖小区白鹤苑 ,白马湖小区白鹤苑5居室 03卧,5室1厅 ,东,8.5,1690,198.8 
299,缤纷小区 ,缤纷小区4居室 02卧,4室1厅 ,北,8.87,1830,206.3 
300,缤纷小区 ,缤纷小区4居室 03卧,4室1厅 ,北,8.03,1730,215.4 
